Warehouse id,Region,SKU id,01-04-2018 00:00,01-05-2018 00:00,01-06-2018 00:00,01-07-2018 00:00,01-08-2018 00:00,01-09-2018 00:00,01-10-2018 00:00,01-11-2018 00:00,01-12-2018 00:00,01-01-2019 00:00,01-02-2019 00:00,01-03-2019 00:00,01-04-2019 00:00,01-05-2019 00:00,01-06-2019 00:00,01-07-2019 00:00,01-08-2019 00:00,01-09-2019 00:00,01-10-2019 00:00,01-11-2019 00:00,01-12-2019 00:00,01-01-2020 00:00,01-02-2020 00:00,01-03-2020 00:00,01-04-2020 00:00,01-05-2020 00:00,01-06-2020 00:00,01-07-2020 00:00,01-08-2020 00:00,01-09-2020 00:00,01-10-2020 00:00,01-11-2020 00:00,01-12-2020 00:00,01-01-2021 00:00,01-02-2021 00:00,01-03-2021 00:00,01-04-2021 00:00,01-05-2021 00:00
1,NORTH,1,27,13,19,14,22,8,8,8,8,8,8,13,28.33333333,19,8,12,14,12,18,8,8,8,8,14,8,9,8,8,12,8,8,8,8,8,14,16,8,12
1,NORTH,2,88,28,127,105,58,10,7,7,7,13,7,55,64,76,79,94,25,76,25,10,7,7,7,37,7,61,55,73,16,7,7,7,7,7,13,43,13,43
1,NORTH,3,6,6,6,6,6,6,6,6,6,6,6,6,13.33333333,8,6,6,6,6,6,6,6,6,6,6,6,6,12,6,8,6,6,6,6,6,6,8,13.33333333,6
1,NORTH,4,162,184,110,172,90,40,18,26,18,66,18,100,140,84,104,94,132,172,48,40,98,72,24,18,18,64,170,134,82,78,38,18,22,28,36,148.6666667,58,18
1,NORTH,5,171,402,627,615,300,417,141,42,72,33,42,186,465,321,438,471,174,375,123,135,171,36,6,51,6,114,783,471,468,216,75,6,30,66,141,699,183,24
1,NORTH,6,4,4,4,52,4,12,4,4,4,4,4,12,77.33333333,80,20,32,4,4,4,4,16,4,4,4,4,4,4,4,32,4,4,4,4,4,4,24,4,4
1,NORTH,7,1179,435,335,719,791,783,875,935,1407,699,635,1520.333333,1427,307,859,295,755,1263,771,1127,1747,1411,1391,951,479,483,355,807,943,1259,1403,867,1707,791,1447,1499,763,395
1,NORTH,8,406,652,844,541,703,634,523,688,1267,463,436,1196,1234,319,901,280,508,538,382,622,1162,586,625,409,307,508,490,424,934,352,589,274,985,838,649,694,430,250
1,NORTH,9,264,244,159,204,84,129,248,166,273,186,106,496,130,97,65,204,123,267,135,277,418,303,488,157,83.66666667,83,131,152,226,437,147,175,359,359.3333333,212,235,161,67
1,NORTH,10,8,8,8,8,8,8,8,8,8,8,8,334,406,129,169,110,114,299,240,331,364,346,149,352,8,106,108,148,237,244,235,140,524,396,252,429.6666667,92,40
1,NORTH,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,143,37,97,65,141.6666667,105,107.6666667,45,67
1,NORTH,12,8,8,8,8,8,8,8,488,638,128,98,428,524,140,374,98,620,8,8,98,140,444,128,368,8,8,8,170,368,68,206,350,560,494,248,188,110,242
1,NORTH,13,17540,4896,2860,1900,6700,4604,1220,10184,18336,19324,5392,23477.33333,15564,9288,8488,5716,12104,3820,4116,21140,23688,17060,6520,12820,20,20,884,7908,2020,4796,844,18148,30996,12020,6948,15180,420,1020
1,NORTH,14,2,2,2,2,2,2,2,173,146,227,20,254,487,317,299,407,335,173,155,101,543,731,2,245,2,83,539,488,443,146,236,281,218,344,587,227,281,65
1,NORTH,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,216,180,64,162.3333333,135,182.3333333,100,19,172
1,NORTH,16,16,16,16,16,16,16,16,16,364,272,80,508,428,88,456,236,433.3333333,192,36,496,164,326.6666667,72,264,16,36,116,360,292,88,88,572,488,356,480,220,56,328
1,NORTH,17,8458,4834,3066,2642,5362,4358,242,10322,9690,13362,3198,11983.33333,6602,4814,5162,6258,10426,2494,2642,13898,12738,16042,2302,8606,2,2,162,5818,3026,4154,2202,16370,13754,7362,4550,7042,2,2748.666667
1,NORTH,18,6,6,6,6,6,6,6,6,6,414,838,494,688.6666667,714,366,462,570,162,594,582,354,738,354,402,6,66,246,822,690,90,434,690,402,378,750,642,366,198
1,NORTH,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,52,60,22,16,22,16,40,22,16,60,16,28
1,NORTH,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,46,46,52,70,49,70,85,22,102,10,4
