,Warehouse id,Region,SKU id,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00
0,1,NORTH,1,27,13,30,14,22,8,8,8,8,8,8,13,12,19,8,12,14,12,18,8,8,8,8,14,8,9,8,8,12,8,8,8,8,8,14,16,8,12
1,1,NORTH,2,88,28,127,130,58,10,7,7,7,13,7,55,64,76,79,94,25,39,25,10,7,7,7,37,7,61,55,73,16,7,7,7,7,7,13,43,13,43
2,1,NORTH,3,6,6,6,6,6,6,6,6,6,6,6,6,26,8,6,6,6,6,6,6,6,6,6,6,6,6,12,6,8,6,6,6,6,6,6,8,26,6
3,1,NORTH,4,162,184,110,172,90,40,18,26,18,66,18,100,140,84,104,94,132,172,48,40,98,72,24,18,18,64,312,134,82,78,38,18,22,28,36,86,58,18
4,1,NORTH,5,171,402,627,615,300,417,141,42,72,33,42,186,465,321,438,801,174,375,123,135,171,36,6,51,6,114,273,471,468,216,75,6,30,66,141,699,183,24
5,1,NORTH,6,4,4,4,52,4,12,4,4,4,4,4,12,84,14,20,32,4,4,4,4,16,4,4,4,4,4,4,4,32,4,4,4,4,4,4,24,4,4
6,1,NORTH,7,1179,435,335,719,791,783,875,935,1407,699,635,955,1427,307,859,295,755,1263,771,1127,1747,1411,1391,951,3,483,355,807,943,1259,1403,867,1707,791,1447,1499,763,395
7,1,NORTH,8,406,652,844,541,703,634,523,688,1267,463,436,633,1234,319,901,280,508,538,382,622,1162,586,625,409,4,508,490,424,934,352,589,274,985,838,649,694,430,250
8,1,NORTH,9,264,244,159,204,84,129,248,166,273,186,106,496,130,97,65,204,123,267,135,277,418,303,488,157,213,83,131,152,226,437,147,175,359,507,212,235,161,67
9,1,NORTH,10,8,8,8,8,8,8,8,8,8,8,8,588,406,129,169,110,114,299,240,331,364,346,149,352,8,106,108,148,237,244,235,140,524,396,252,188,92,40
11,1,NORTH,12,8,8,8,8,8,8,8,488,638,128,98,428,524,140,374,98,251,8,8,98,140,1064,128,368,8,8,8,170,368,68,206,350,560,494,248,188,110,242
12,1,NORTH,13,17540,4896,2860,1900,6700,4604,1220,10184,18336,19324,5392,10346,15564,9288,8488,5716,12104,3820,4116,21140,32864,17060,6520,12820,20,20,884,7908,2020,4796,844,18148,30996,12020,6948,15180,420,1020
13,1,NORTH,14,2,2,2,2,2,2,2,173,146,227,20,254,242,317,299,407,335,173,155,101,797,731,2,245,2,83,539,488,443,146,236,281,218,344,587,227,281,65
15,1,NORTH,16,16,16,16,16,16,16,16,16,364,272,80,508,428,88,456,236,234,192,36,496,164,744,72,264,16,36,116,360,292,88,88,572,488,356,480,220,56,328
16,1,NORTH,17,8458,4834,3066,2642,5362,4358,242,10322,9690,13362,3198,6560,6602,4814,5162,6258,10426,2494,2642,13898,12738,16042,2302,8606,2,2,162,5818,3026,4154,2202,16370,13754,7362,4550,7042,2,1202
17,1,NORTH,18,6,6,6,6,6,6,6,6,6,414,838,494,858,714,366,462,570,162,594,582,354,381,354,402,6,66,246,822,690,90,434,690,402,378,750,642,366,198
