,Unnamed: 0,Warehouse id,Region,SKU id,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,params
0,10,1,NORTH,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,143,37,97,65,31,105,173,45,67,"[0, 0, 1]"
1,14,1,NORTH,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,216,180,64,288,135,51,100,19,172,"[2, 0, 1]"
2,18,1,NORTH,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,52,106,22,16,22,16,40,22,16,24,16,28,"[0, 1, 0]"
3,19,1,NORTH,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,46,46,52,70,49,70,163,22,24,10,4,"[1, 0, 0]"
4,20,1,NORTH,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36,108,112,60,76,84,57,164,232,136,164,124,"[0, 0, 1]"
5,21,1,NORTH,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,10,54,2,54,11,22,38,14,38,2,"[2, 1, 1]"
6,22,1,NORTH,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,131,27,35,51,75,27,51,87,123,3,19,"[3, 0, 1]"
7,23,1,NORTH,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,64,124,36,56,112,144,31,64,32,136,24,24,"[3, 0, 1]"
8,25,1,NORTH,26,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,147,132,60,144,186,162,186,141,53,18,48,"[1, 1, 0]"
9,26,1,NORTH,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,25,115,49,25,64,103,244,205,232,52,139,43,"[1, 1, 1]"
10,27,1,NORTH,28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,57,19,43,33,23,47,18,48,49,29,11,"[2, 0, 1]"
11,28,1,NORTH,29,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,56,96,50,36,60,36,35,64,78,112,72,36,"[0, 0, 1]"
12,32,1,NORTH,33,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,72,40,42,41,154,194,86,77,160,108,30,"[2, 0, 1]"
13,34,1,NORTH,35,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,52,28,4,"[0, 1, 0]"
14,35,1,NORTH,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,144,2,6,154,292,330,314,750,538,153,790,478,568,282,306,"[2, 0, 1]"
15,40,1,NORTH,41,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,191,8,8,152,11,89,92,32,110,140,110,39,98,38,20,"[2, 0, 1]"
16,41,1,NORTH,42,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42,6,6,90,116,158,30,106,84,6,54,142,34,6,126,"[0, 0, 1]"
17,42,1,NORTH,43,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,408,4,12,164,32,184,156,132,324,65,52,112,84,52,28,"[0, 0, 0]"
18,43,1,NORTH,44,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,34,14,22,174,46,58,198,198,198,82,14,222,238,46,142,"[0, 0, 1]"
19,53,1,NORTH,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,62,18,26,210,70,54,58,82,90,52,178,138,202,58,18,"[0, 0, 1]"
20,54,1,NORTH,55,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,227,15,23,55,69,117,83,283,113,75,189,97,359,251,95,"[0, 1, 1]"
21,55,1,NORTH,56,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,139,115,175,463,259,627,635,178,475,989,763,531,139,"[0, 0, 1]"
22,56,1,NORTH,57,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,293,17,17,49,17,49,77,241,41,229,145,55,89,33,25,"[0, 0, 0]"
23,57,1,NORTH,58,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,200,17,41,95,164,161,29,455,194,308,155,83,413,17,47,"[2, 0, 1]"
24,58,1,NORTH,59,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,133,13,29,133,221,401,213,609,93,541,277,441,689,133,109,"[1, 0, 1]"
25,61,1,NORTH,62,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,46,124,14,94,294,258,258,166,318,562,622,62,250,458,114,62,"[2, 0, 1]"
