,Warehouse id,Region,SKU id,01-04-2018 00:00,01-05-2018 00:00,01-06-2018 00:00,01-07-2018 00:00,01-08-2018 00:00,01-09-2018 00:00,01-10-2018 00:00,01-11-2018 00:00,01-12-2018 00:00,01-01-2019 00:00,01-02-2019 00:00,01-03-2019 00:00,01-04-2019 00:00,01-05-2019 00:00,01-06-2019 00:00,01-07-2019 00:00,01-08-2019 00:00,01-09-2019 00:00,01-10-2019 00:00,01-11-2019 00:00,01-12-2019 00:00,01-01-2020 00:00,01-02-2020 00:00,01-03-2020 00:00,01-04-2020 00:00,01-05-2020 00:00,01-06-2020 00:00,01-07-2020 00:00,01-08-2020 00:00,01-09-2020 00:00,01-10-2020 00:00,01-11-2020 00:00,01-12-2020 00:00,01-01-2021 00:00,01-02-2021 00:00,01-03-2021 00:00,01-04-2021 00:00,01-05-2021 00:00
10,1,NORTH,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,55.0,143.0,37.0,97.0,65.0,141.6666667,105.0,107.6666667,45.0,67.0
14,1,NORTH,15,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,216.0,180.0,64.0,162.3333333,135.0,182.3333333,100.0,19.0,172.0
18,1,NORTH,19,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,52.0,60.0,22.0,16.0,22.0,16.0,40.0,22.0,16.0,60.0,16.0,28.0
19,1,NORTH,20,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,46.0,46.0,52.0,70.0,49.0,70.0,85.0,22.0,102.0,10.0,4.0
20,1,NORTH,21,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,36.0,108.0,112.0,60.0,76.0,84.0,206.6666667,164.0,177.3333333,136.0,164.0,124.0
21,1,NORTH,22,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,34.66666667,54.0,2.0,54.0,60.0,22.0,38.0,14.0,38.0,2.0
22,1,NORTH,23,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.66666667,27.0,35.0,51.0,75.0,160.3333333,51.0,87.0,123.0,3.0,19.0
23,1,NORTH,24,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,64.0,124.0,36.0,56.0,112.0,144.0,128.0,64.0,32.0,136.0,24.0,24.0
25,1,NORTH,26,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,30.0,147.0,132.0,60.0,144.0,186.0,162.0,186.0,141.0,151.0,18.0,48.0
26,1,NORTH,27,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,25.0,115.0,49.0,25.0,64.0,103.0,244.0,205.0,232.0,262.0,139.0,43.0
27,1,NORTH,28,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.0,19.0,43.0,33.0,23.0,47.0,53.33333333,48.0,49.0,29.0,11.0
28,1,NORTH,29,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,56.0,96.0,50.0,36.0,60.0,36.0,109.3333333,64.0,78.0,87.33333333,72.0,36.0
32,1,NORTH,33,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,18.0,72.0,40.0,42.0,140.6666667,154.0,144.6666667,86.0,77.0,160.0,108.0,30.0
34,1,NORTH,35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,126.6666667,134.6666667,28.0,4.0
35,1,NORTH,36,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,144.0,2.0,54.0,154.0,292.0,330.0,314.0,750.0,538.0,722.6666667,790.0,478.0,568.0,282.0,306.0
40,1,NORTH,41,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,69.0,8.0,8.0,152.0,11.0,89.0,92.0,32.0,110.0,140.0,110.0,137.0,98.0,38.0,20.0
41,1,NORTH,42,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,42.0,6.0,6.0,90.0,116.0,101.3333333,30.0,106.0,84.0,6.0,54.0,142.0,116.6666667,6.0,126.0
42,1,NORTH,43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,146.6666667,4.0,12.0,164.0,32.0,184.0,156.0,132.0,324.0,329.3333333,52.0,112.0,84.0,52.0,28.0
43,1,NORTH,44,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,34.0,14.0,22.0,174.0,46.0,168.6666667,198.0,198.0,198.0,98.0,14.0,222.0,238.0,46.0,142.0
53,1,NORTH,54,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,62.0,18.0,26.0,210.0,70.0,54.0,58.0,82.0,90.0,195.3333333,178.0,172.6666667,202.0,58.0,18.0
54,1,NORTH,55,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,227.0,15.0,23.0,55.0,69.0,117.0,83.0,283.0,113.0,279.6666667,189.0,97.0,235.6666667,251.0,95.0
55,1,NORTH,56,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,139.0,115.0,175.0,463.0,259.0,627.0,635.0,763.6666667,475.0,742.3333333,763.0,531.0,139.0
56,1,NORTH,57,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,25.0,111.6666667,17.0,17.0,49.0,17.0,49.0,77.0,241.0,41.0,229.0,145.0,205.6666667,89.0,33.0,25.0
57,1,NORTH,58,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,200.0,17.0,41.0,95.0,164.0,161.0,29.0,455.0,194.0,219.0,155.0,351.0,413.0,17.0,47.0
