,Warehouse id,Region,SKU id,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00
10,Wh-1,NORTH,SKU-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,55.0,78.33333333333333,37.0,66.33333333333333,65.0,141.6666666666667,139.8888888888889,119.2962962962963,45.0,77.09876543209877
14,Wh-1,NORTH,SKU-15,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,137.3333333333333,127.1111111111111,159.7037037037037,194.2345679012346,213.7448559670782,208.5816186556927,109.1938728852309,100.064624295077,127.0861657267693
18,Wh-1,NORTH,SKU-19,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,58.0,62.0,33.33333333333334,16.0,18.0,16.0,26.0,21.33333333333333,16.0,60.0,16.0,34.66666666666666
19,Wh-1,NORTH,SKU-20,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32.0,43.33333333333334,55.11111111111111,58.03703703703704,59.01234567901235,97.33744855967079,94.1124828532236,130.0374942844079,138.0124980948026,10.0,4.0
20,Wh-1,NORTH,SKU-21,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,36.0,108.0,112.0,60.0,76.0,84.0,206.6666666666667,200.8888888888889,189.6296296296296,136.0,141.3333333333333,124.0
21,Wh-1,NORTH,SKU-22,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,17.33333333333333,27.11111111111111,27.70370370370371,2.0,53.33333333333334,59.77777777777778,39.92592592592592,30.64197530864197,27.54732510288066,22.51577503429355,2.0
22,Wh-1,NORTH,SKU-23,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,53.66666666666666,27.0,37.66666666666666,54.55555555555555,161.5185185185185,189.1728395061728,109.0576131687243,106.3525377229081,77.45084590763604,3.0,19.0
23,Wh-1,NORTH,SKU-24,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,65.33333333333333,75.1111111111111,36.0,56.0,104.0,141.3333333333333,127.1111111111111,74.37037037037038,32.0,64.0,24.0,24.0
25,Wh-1,NORTH,SKU-26,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,30.0,103.0,98.33333333333333,60.0,130.0,159.3333333333333,169.1111111111111,165.3703703703704,200.1234567901234,170.7078189300412,18.0,48.0
26,Wh-1,NORTH,SKU-27,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,25.0,63.0,49.0,25.0,64.0,137.0,195.3333333333333,210.7777777777778,285.9259259259259,279.9753086419753,153.9917695473251,43.0
